Source_IP,Destination_IP,Port,Request_Type,Protocol,Payload_Size,User_Agent,Status,Intrusion,Scan_Type
192.168.142.55,42.156.67.167,80,FTP,UDP,2369,curl/7.68.0,Success,0,Normal
53.39.165.18,94.60.242.119,135,SMTP,UDP,1536,Wget/1.20.3,Failure,1,BotAttack
192.168.127.91,7.10.192.3,21,SMTP,TCP,1183,Wget/1.20.3,Success,0,Normal
192.168.30.40,130.169.82.211,25,HTTPS,TCP,666,Mozilla/5.0,Success,0,Normal
192.168.43.179,35.140.102.220,22,FTP,TCP,2821,Mozilla/5.0,Success,0,Normal
192.168.74.4,1.236.8.103,53,HTTPS,UDP,2179,Mozilla/5.0,Success,0,Normal
192.168.107.84,88.97.46.184,25,HTTPS,TCP,1699,Wget/1.20.3,Success,0,Normal
192.168.220.202,210.58.142.213,22,DNS,ICMP,2104,Nikto/2.1.6,Success,0,Normal
192.168.179.87,212.23.68.106,443,SSH,UDP,1522,curl/7.68.0,Success,0,Normal
192.168.36.39,203.190.72.188,22,HTTPS,UDP,333,curl/7.68.0,Success,0,Normal
192.168.255.127,96.234.143.84,25,SSH,ICMP,2869,curl/7.68.0,Success,0,Normal
192.168.60.1,135.70.152.237,80,SSH,UDP,1078,curl/7.68.0,Success,0,Normal
192.168.193.228,99.255.64.186,53,HTTP,UDP,1491,nmap/7.80,Success,0,Normal
192.168.25.10,181.198.149.40,80,SSH,TCP,702,nmap/7.80,Success,0,Normal
192.168.56.234,151.151.202.202,443,HTTP,ICMP,1757,Nikto/2.1.6,Success,0,Normal
192.168.163.105,36.59.188.166,53,SSH,TCP,2041,curl/7.68.0,Failure,0,Normal
192.168.1.200,198.237.168.148,21,SMTP,ICMP,1151,Wget/1.20.3,Success,0,Normal
192.168.65.35,173.56.92.88,22,Telnet,ICMP,2713,curl/7.68.0,Success,0,Normal
178.20.222.2,206.164.156.21,135,HTTP,UDP,45,Wget/1.20.3,Failure,1,PortScan
192.168.120.34,126.158.33.116,53,HTTPS,ICMP,2602,Mozilla/5.0,Success,0,Normal
192.168.214.141,212.4.83.42,443,SSH,TCP,1747,nmap/7.80,Success,0,Normal
201.232.85.16,146.171.223.16,135,FTP,ICMP,13,python-requests/2.25.1,Failure,1,PortScan
192.168.255.205,208.138.169.175,53,DNS,UDP,2983,Nikto/2.1.6,Success,0,Normal
192.168.254.96,120.30.84.87,25,FTP,TCP,1308,Wget/1.20.3,Success,0,Normal
192.168.93.6,220.124.200.241,25,HTTP,ICMP,200,python-requests/2.25.1,Success,0,Normal
192.168.74.16,19.201.86.26,443,HTTPS,UDP,2904,curl/7.68.0,Success,0,Normal
192.168.248.163,152.44.162.12,53,HTTP,ICMP,1763,nmap/7.80,Success,0,Normal
192.168.18.59,162.47.29.195,22,HTTPS,ICMP,1940,Wget/1.20.3,Success,0,Normal
192.168.174.203,135.231.237.35,21,SSH,TCP,1910,curl/7.68.0,Success,0,Normal
192.168.217.242,157.51.38.220,80,HTTP,TCP,2311,python-requests/2.25.1,Success,0,Normal
216.181.134.4,106.179.185.195,135,FTP,TCP,1638,Nikto/2.1.6,Failure,1,BotAttack
192.168.46.154,160.96.68.40,53,DNS,UDP,674,nmap/7.80,Success,0,Normal
192.168.190.188,219.188.83.110,21,DNS,UDP,821,Wget/1.20.3,Success,0,Normal
192.168.0.211,9.1.28.67,21,SMTP,TCP,2208,curl/7.68.0,Success,0,Normal
192.168.163.188,177.254.3.109,22,FTP,UDP,2309,curl/7.68.0,Success,0,Normal
192.168.15.169,222.36.229.80,21,SMTP,TCP,344,Mozilla/5.0,Success,0,Normal
192.168.199.17,22.229.30.47,53,HTTP,TCP,1027,Wget/1.20.3,Success,0,Normal
192.168.153.21,207.73.245.155,21,HTTPS,TCP,2915,nmap/7.80,Success,0,Normal
219.110.174.163,23.165.120.135,4444,SSH,TCP,61,nmap/7.80,Failure,1,PortScan
